CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,S12_Testing framework,S12_Notes,S13_Contact tracing,S13_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
Aruba,ABW,20200415,2,1,"Schools are closed starting Monday, March 16 till April 20, 2020. This measure applies to schools, daycare centers, and all organizations that are in charge of the education and care of our children. After this date the situation will be evaluated. See letter of the Minister of Education. Retrieved from: /web/20200406202340/https://www.overheid.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html",,,"'ORANJESTAD - The Police Department of Aruba has announced that they will be enforcing the curfew that starts on Saturday 21 of March 2020 at 9:00 pm. Some exceptions require being outside during the curfew, like security personnel, hotel employers, waste management, etc. but they have to send an official company letter by email to cmo@crisis.aw requesting an exemption. The company letter should include the logo, name of the particular employee and his or her ID and should be signed by the company director or acting director or by the Human Resources Manager'. Retrieved from:  /web/20200406203242/https://www.overheid.aw/news/news_47033/item/police-of-aruba-aruba-under-curfew_48686.html",2,1,"-Starting March 29, 2020, a Shelter in Place is into effect for the entire population, as announced in the AB2020No.43. This means that you are not allowed to leave the house, only for necessary things, such as buying food, going to the pharmacy, exercising or getting gas. The measures apply to non-essential groups. See overview of non-essential businesses/ activities. Businesses must instruct their customers that they must keep 2 meters apart. If the social distance rule is not enforced, companies will be closed and fined. A ban on gathering (loitering) has also been issued, in particular the prohibition of group formation in public space by 4 or more people, with the exception of families living under the same roof.   
Retrieved at: https://web.archive.org/web/20200402180605/https://www.overheid.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html",,,,,,,2,1,"-Starting March 29, 2020, a Shelter in Place is into effect for the entire population, as announced in the AB2020No.43. This means that you are not allowed to leave the house, only for necessary things, such as buying food, going to the pharmacy, exercising or getting gas. The measures apply to non-essential groups. See overview of non-essential businesses/ activities. Businesses must instruct their customers that they must keep 2 meters apart. If the social distance rule is not enforced, companies will be closed and fined. A ban on gathering (loitering) has also been issued, in particular the prohibition of group formation in public space by 4 or more people, with the exception of families living under the same roof.   
Retrieved at: https://web.archive.org/web/20200402180605/https://www.overheid.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html",,"Effective March 29, 2020, Aruba will restrict entry to Aruba to all travelers, including legal residents of Aruba.
Retrieved from: https://web.archive.org/web/20200402175148/https://cw.usconsulate.gov/news-events/covid-19-information/",,"-Fiscal reform will be eliminated from the 2020 national budget 'ORANJESTAD- During a conference call between Prime Minister Evelyn Wever-Croes, Prime Minister of Curacao Eugene Rhuggenaath and Prime Minister Silveria Jacobs of Sint-Maarten, the leaders discussed the developments in the Netherlands and about economics and how they would finance the effects caused by the Corona Virus'. https://www.overheid.aw/news/news_47033/item/fiscal-reform-will-be-eliminated-from-the-2020-national-budget_48710.html",,"-'The Government of Aruba provides the opportunity for businesses and employees to apply for compensation from the Emergency Social Assistance Funds FASE to help cover the loss of income of employees due to the reduction of working hours, causing them to earn less than AWG. 950, 00 monthly'. (The deadline for submission of the application for social assistance for June 2020 is June 1, 2020).
https://www.overheid.aw/news/news_47033/item/flexibility-package-for-covid-19-crisis_48794.html",,,,,,,,,,,,71.43
Afghanistan,AFG,20200415,2,1,"On March 14, 2020, the Afghan government announced closure of schools for a month. Academic year in most of the country beings on March 21st. As of now, the schools will not start the new academic year until April 21, 2020: /web/20200401000832/http://www.afghanistantimes.af/afghanistan-shuts-schools-bans-public-events-amid-coronavirus-fears/",2,0,The governor said that all government institutions in Kabul city and in the province--except the Ministry of Public Health and the municipality and security institutions--will be closed for at least three weeks: https://tolonews.com/health/kabul-lockdown-begins-saturday-officials,2,0,,2,0,,1,1,,2,0,,1,,,,,,,,0,,1,,1,,,,71.43,71.43
United Arab Emirates,ARE,20200415,2,1,Schools in the UAE to remain closed for the rest of the academic year per the Ministry of Education Twitter account: https://whichschooladvisor.com/uae/school-news/covid19-distance-learning-continued-to-end-of-term-3,,,,,,,,,,1,1,"Coronavirus: Dubai launches #AskDXBdoctor campaign, how it works Service in English and Arabic will allow public to obtain credible information. https://gulfnews.com/uae/health/coronavirus-dubai-launches-askdxbdoctor-campaign-how-it-works-1.70621537",2,1,Most Emirates have implemented 8pm-6am stay at home orders while Dubai has gone a step further and implemented 24 hour stay at home orders: https://www.thenational.ae/uae/rallying-cry-in-the-sky-helicopter-message-tells-uae-residents-to-stay-at-home-1.1002292,3,UAE has allowed some flights from the Emirates to a passenger's home country in Europe but most flights remain banned: https://www.traveller.com.au/emirates-restarts-some-international-flights-after-coronavirus-grounding-h1n698,,,0.25,,,,,,,,,,,,,95.24
Austria,AUT,20200415,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,95.24
Belgium,BEL,20200415,2,1,"'The National Security Council of 27 March, which was extended to include the Ministers-President, decided to extend the measures taken earlier by two weeks, i.e. until 19 April (...) Regarding schools, and especially their activities during the Easter holidays: The rules will remain the same' 
(https://www.belgium.be/en/news/2020/measures_taken_national_security_council_27_march_2020) ",,,,,,,0,,,1,1,"Tweet posted on 15/03/2020: 
'Informations sur le #coronavirus?
??http://info-coronavirus.be
??0800/14.689 (08h00 - 20h00)
??via @CrisiscenterBE & @SanteBelgique
Nous répondons tous les jours à vos questions entre 09h00 et 18h00.'
(https://twitter.com/SanteBelgique)

This tweet outlines where citizens can access information about coronavirus: on a dedicated website, by phone and by twitter, everyday. 

The website and twitter account has since been updated daily. ",,,,,,,,,,,,,,,,,,,,,85.71
Burkina Faso,BFA,20200415,2,1,"According to UNESCO COVID-19 Impact on Education data, BFA schools shut nation-wide until 15-Apr-2020",,,,2,1,"Administrative Communiqué from the ministry of state,  territoriale administration, decentralisation and social cohesion banning public gatherings in the entire country as from 20 march unti 20 april 2020.  (https://www.sig.gov.bf/actualites/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=304&cHash=80c05b937c04a13681e163e0130beabe) ",,,,,,,,,,,,,,,,,,,,,,,,,,,95.24
Bangladesh,BGD,20200415,2,1,https://web.archive.org/web/20200414124853/https://www.who.int/docs/default-source/searo/bangladesh/covid-19-who-bangladesh-situation-reports/who-ban-covid-19-sitrep-07.pdf?sfvrsn=8ebbdd17_6,2,1,https://web.archive.org/web/20200414124853/https://www.who.int/docs/default-source/searo/bangladesh/covid-19-who-bangladesh-situation-reports/who-ban-covid-19-sitrep-07.pdf?sfvrsn=8ebbdd17_6,2,1,https://web.archive.org/web/20200414124853/https://www.who.int/docs/default-source/searo/bangladesh/covid-19-who-bangladesh-situation-reports/who-ban-covid-19-sitrep-07.pdf?sfvrsn=8ebbdd17_6,2,1,https://web.archive.org/web/20200414124853/https://www.who.int/docs/default-source/searo/bangladesh/covid-19-who-bangladesh-situation-reports/who-ban-covid-19-sitrep-07.pdf?sfvrsn=8ebbdd17_6,,,,2,1,https://web.archive.org/web/20200414124853/https://www.who.int/docs/default-source/searo/bangladesh/covid-19-who-bangladesh-situation-reports/who-ban-covid-19-sitrep-07.pdf?sfvrsn=8ebbdd17_6,3,https://web.archive.org/web/20200414124853/https://www.who.int/docs/default-source/searo/bangladesh/covid-19-who-bangladesh-situation-reports/who-ban-covid-19-sitrep-07.pdf?sfvrsn=8ebbdd17_6,,,,,,,,,,,,,,,,95.24
Belize,BLZ,20200415,2,1,"'Effective Friday, March 20th, all schools will be closed for 14 days which will lead right into the Easter break.' Retrieved from: /web/20200414080113/http://health.gov.bz/www/component/content/article/177-general-health/1024-belize-announces-new-measures-in-response-to-covid-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19
Bermuda,BMU,20200415,,,,2,1,"The Premier of Bermuda gave a national address stating that from 4 April at 6am, Bermuda will implement the Shelter in Place measure for 14 days. The Shelter in Place is scheduled to end on 18 April. Archived Source: /web/20200402180713/https://www.gov.bm/articles/covid-19-update-premier-david-burt",2,1,"The Premier of Bermuda gave a national address stating that from 4 April at 6am, Bermuda will implement the Shelter in Place measure for 14 days. The Shelter in Place is scheduled to end on 18 April. Archived Source: /web/20200402180713/https://www.gov.bm/articles/covid-19-update-premier-david-burt",2,1,"The Premier of Bermuda gave a national address stating that from 4 April at 6am, Bermuda will implement the Shelter in Place measure for 14 days. The Shelter in Place is scheduled to end on 18 April. Archived Source: /web/20200402180713/https://www.gov.bm/articles/covid-19-update-premier-david-burt",,,,2,1,"The Premier of Bermuda gave a national address stating that from 4 April at 6am, Bermuda will implement the Shelter in Place measure for 14 days. The Shelter in Place is scheduled to end on 18 April.
Archived Source: /web/20200402180713/https://www.gov.bm/articles/covid-19-update-premier-david-burt",3,"'The current restriction on commercial aircraft operations is in place for two weeks from 21 March, which takes us to 4 April. However, commercial airlines have generally suspended service to Bermuda for the month of April. The Cabinet will discuss the future status of resuming scheduled commercial airline traffic'. 
https://www.gov.bm/articles/covid-19-health-update-30-march-2020",,,,,,,,,,,,,,,,100
Brazil,BRA,20200415,,,,,,,,,,,,,,,,,,,3,https://agenciabrasil.ebc.com.br/geral/noticia/2020-03/governo-restringe-entrada-de-estrangeiros-no-pais-por-30-dias 23th March the federal government lauched a law restricting the entrance of foreigners from some nationalities in the country. The measure is valid for 30 days.,,,,,,,,,,,,,,,,76.19
Barbados,BRB,20200415,2,1,"'The extension according to Mottley also means: 'School cannot reopen on Tuesday next week.' Therefore, a conversation needs to be had on e-learning and distance learning for schools. In terms of CSEC and CAPE examinations, talks are to be had with the Caribbean Examination Council (CXC).' Source: http://web.archive.org/web/20200414233137/https://www.loopnewsbarbados.com/content/covid-19-curfew-extended-barbados-relaxed-restrictions",2,1,"'Barbados' curfew has been extended to 11.59 pm, May 3, 2020.' Source: http://web.archive.org/web/20200414233137/https://www.loopnewsbarbados.com/content/covid-19-curfew-extended-barbados-relaxed-restrictions",2,1,"'Barbados' curfew has been extended to 11.59 pm, May 3, 2020.' Source: http://web.archive.org/web/20200414233137/https://www.loopnewsbarbados.com/content/covid-19-curfew-extended-barbados-relaxed-restrictions",,,,1,1,"Barbados has established a COVID-19 information hotline that can be reached at 246-536-4500. Source: https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/ Additionaly, information is being posted on the Government Information Service website with a special web page dedicated to Covid-19. Source: https://gisbarbados.gov.bb/blog/extracts-emergency-management-covid-19-order-2020",2,1,"'Barbados' curfew has been extended to 11.59 pm, May 3, 2020.' Source: http://web.archive.org/web/20200414233137/https://www.loopnewsbarbados.com/content/covid-19-curfew-extended-barbados-relaxed-restrictions",2,A mandatory 14-day quarantine in a Government facility for all persons entering Barbados. Source: https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,0,"'The Government of Barbados (GoB) has identified upfront emergency health and capital expenditures needed to manage and mitigate the spread of infection. This includes resources to refurbish the hospital and clinics, build isolation centers, and provision critical medications and supplies.' Source: https://web.archive.org/web/20200414010927/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19",-5,"From 7 to 2% for Commercial Banks. 'The Central Bank of Barbados (CBB) announced a series of measures (effective April 1, 2020) to help support commercial banks and other deposit-taking institution manage the economic fallout from the coronavirus shock. Specifically: i) the Bank’s discount rate at which it provides overnight lending to banks and deposit-taking non-banks licensed under the Financial Institutions Act was reduced from 7 percent to 2 percent; ii) the securities ratio for banks was lowered from 17.5 percent to 5 percent; iii) the 1.5 percent securities ratio for non-bank deposit taking licensees was eliminated; and, iv) the Bank indicated it stands ready to make collateralized loans for up to six months as liquidity support for licensees.' Source: https://web.archive.org/web/20200414010927/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19",0,"'On Friday, a 40-foot container from China arrived at the Bridgetown Port with 4500 goggles and over 16,000 face masks. The QEH Chair disclosed that another shipment from the Asian country could arrive by the middle of this week. 'We have another container due in on Wednesday with more surgical masks and gowns. So what we have been doing, not only in the case of ventilators, is ensuring that we have a steady supply.'' Source: https://web.archive.org/web/20200410020309/https://barbadostoday.bb/2020/04/07/barbados-looking-to-other-suppliers-for-equipment/",0,,2,"'Mass testing of persons for the COVID-19 virus is a luxury that this country cannot afford at this time. COVID-19 Czar, Richard Carter, says this is because of the limitations on the availability of the items required for testing, including swabs and test kits. He was speaking yesterday on one of the local radio call-in programmes as he responded to a caller who suggested that everyone should be tested. Carter, reflecting on the finite supplies, indicated that they are limiting the testing to ensure that the resources currently at their disposal are used in instances where they are absolutely necessary. 'Mass testing of the whole population is not an option that we can use at this moment and it is perhaps not an indication of where we are in the course of the epidemic,' he stated.' Source: https://web.archive.org/web/20200407025412/https://www.barbadosadvocate.com/news/no-mass-testing-right-now",2,'Acting Chief Medical Officer Dr Anton Best said there is no evidence yet of community spread of novel coronavirus (COVID-19) but health officials are aggressively using contact tracing to limit an increase in infections.' Source: https://web.archive.org/web/20200406134607/https://www.nationnews.com/nationnews/news/244799/-aggressive-contact-tracing-continues,,,,80.95
Switzerland,CHE,20200415,,,,,,,2,1,"'The government banned all private and public events starting at midnight on March 17. It also ordered the closure of bars, restaurants, sports facilities and cultural spaces. Only businesses providing essential goods to the population – such as grocery stores, bakeries, pharmacies, banks and post offices – are to remain open.' [http://web.archive.org/web/20200402101529/https://www.swissinfo.ch/eng/covid-19_switzerland-declares-coronavirus-crisis-an--extraordinary--situation/45620148]",,,,,,,,,,3,"'The travel restrictions mapped out by the Commission have been unfurled by 26 members of the Union, as well as four other countries who are part of Schengen but not of the EU: Switzerland, Norway, Iceland and Liechtenstein. Ireland was the only EU country not to implement the border closure.' Source: https://web.archive.org/web/20200412202912/https://www.forbes.com/sites/tamarathiessen/2020/04/11/europe-borders-may-close-to-september-due-to-us-covid-19-threat/",,,,,,,,,,,,,,,,80.95
Chile,CHL,20200415,,,,,,,,,,,,,,,,,,,3,Source: https://web.archive.org/web/20200403060015/https://www.gob.cl/coronavirus/plandeaccion/,,,,,,,,,,,,,,,,71.43
China,CHN,20200415,,,,,,,,,,,,,,,,,,,3,'It also announced it would indefinitely extend its ban on foreigners entering or transiting.' https://web.archive.org/web/20200407045455/https://www.theguardian.com/world/2020/apr/07/china-reports-zero-daily-deaths-from-coronavirus-for-the-first-time-since-january,,,,,,,,,,,,,,,,42.86
Cameroon,CMR,20200415,2,1,https://www.journalducameroun.com/en/cameroon-closes-schools-borders-among-measures-to-contain-coronavirus/,0,,,2,1,"
Gatherings of more than fifty persons are prohibited: https://www.journalducameroun.com/en/cameroon-closes-schools-borders-among-measures-to-contain-coronavirus/",1,1,Urged to avoid overloading buses and taxis: https://www.journalducameroun.com/en/cameroon-closes-schools-borders-among-measures-to-contain-coronavirus/,1,1,https://twitter.com/CRTV_web/status/1248373071066497026/photo/1,1,1,,3,"'The Cameroon government has taken steps to contain the spread of COVID-19, including shutting schools and universities, closing borders, banning mass gatherings, encouraging people to follow hygiene rules, and creating a help line.' Source: https://web.archive.org/web/20200412215903/https://www.hrw.org/news/2020/04/10/cameroon-allow-aid-access-amid-pandemic",,,,,,,,,,,,,,,76.19,76.19
Democratic Republic of Congo,COD,20200415,,,,,,,,,,,,,,,,,,,3,"'The Congolese government has already taken steps to stop the spread of the virus, including restricting all forms of internal and international travel except for cargo; banning large gatherings; closing bars, restaurants, places of worship and schools; and shutting down borders.' Source: https://web.archive.org/web/20200408194031/https://www.hrw.org/news/2020/04/03/dr-congo-respecting-rights-key-amid-covid-19",,,,,,,,,,,,,,,,85.71
Colombia,COL,20200415,2,1,"The general lock-down and quarantine was prolonged until April 27 by  the Decree 531 issued by the President on April 08, 2020.
https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20531%20DEL%208%20DE%20ABRIL%20DE%202020.pdf  ",2,1,"The workplace closing remains mostly unchanged, except for one additional exception related to public works. The general lock-down and quarantine was prolonged until April 27 by the Decree 531 issued by the President on April 08, 2020.
https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20531%20DEL%208%20DE%20ABRIL%20DE%202020.pdf  ",2,1,"The cancelation of public events remains unchanged. The general lock-down and quarantine was prolonged until April 27 by the Decree 531 issued by the President on April 08, 2020.
https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20531%20DEL%208%20DE%20ABRIL%20DE%202020.pdf  ",2,0,"The limited operation of public transport remains unchanged. The general lock-down and quarantine was prolonged until April 27 by the Decree 531 issued by the President on April 08, 2020. The Decree 531 establishes that public transport must be guaranteed for those activities that are necessary to deal with COVID-19 and the economic activities that are allowed by the decree (e.g. food, banking etc.).
https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20531%20DEL%208%20DE%20ABRIL%20DE%202020.pdf  ",1,1,"The government has continued its educative and informative campaigns about COVID-19. Additionally, the Decree 516, issued on April 4 by the Ministry of Information and Communication Technologies, established that during the “State of National Emergency”  (that finalizes, unless it is extended, on April 15) open television channels must offer spaces for government messages about COVID-19 at certain periodic schedules. Here’s the link for Decree 516:
https://www.mintic.gov.co/portal/604/articles-126488_dec_516.pdf
",2,1,"The limitation of internal movement remains mostly unchanged. The general lock-down and quarantine was prolonged until April 27 by the Decree 531 issued by the President on April 08, 2020. The Decree 531 establishes that domestic flights are only permitted in three specific cases and that internal public transport will only operate for activities linked with COVID and to guarantee the economic activities that are authorized..
https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20531%20DEL%208%20DE%20ABRIL%20DE%202020.pdf  ",3,"The strict control of international travel remain unchanged, the decree that extended the general lock-down and quarantine until April 27 did not lift the prohibition of international passenger flights. Here’s the link to Decree 531:
https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20531%20DEL%208%20DE%20ABRIL%20DE%202020.pdf  ",,,,,,,,,,,,,,,95.24,95.24
Germany,DEU,20200415,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,73.81
